dataset,dropped_column
employee_attrition_datasettrain,Employee_ID
employee_attrition_datasettrain,Age
employee_attrition_datasettrain,Gender
employee_attrition_datasettrain,Marital_Status
employee_attrition_datasettrain,Attrition
ibm_hr_attrition,Age
ibm_hr_attrition,Attrition
ibm_hr_attrition,Gender
ibm_hr_attrition,MaritalStatus
synthetic_employee_attrition_74498train,Employee ID
synthetic_employee_attrition_74498train,Age
synthetic_employee_attrition_74498train,Gender
synthetic_employee_attrition_74498train,Marital Status
synthetic_employee_attrition_74498train,Attrition
