dataset,driver,action,priority,why_it_matters
employee_attrition_datasettrain,Monthly: Income,Review compensation-band positioning and market competitiveness for affected groups.,High,Monthly: Income appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Hourly: Rate,Review compensation-band positioning and market competitiveness for affected groups.,High,Hourly: Rate appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Training hours last year,"Review training access, skill-building plans, and development conversations for affected groups.",High,Training hours last year appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Distance from home,"Explore commute flexibility, hybrid scheduling, or location-support options for affected employees.",Medium,Distance from home appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Work-life balance,Run a pulse survey and manager coaching plan for teams with weaker work-life balance signals.,Medium,Work-life balance appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Absenteeism,"Review Absenteeism patterns with HRBP and managers, then validate with engagement and manager feedback.",Medium,Absenteeism appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Years in current role,"Add onboarding, 30/60/90-day check-ins, and early-tenure manager support for affected groups.",Medium,Years in current role appears among the strongest validation drivers and may represent an actionable retention pattern.
employee_attrition_datasettrain,Years at company,"Add onboarding, 30/60/90-day check-ins, and early-tenure manager support for affected groups.",Medium,Years at company appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Job level,"Review career progression, internal mobility, and promotion visibility for affected groups.",High,Job level appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Overtime: No,"Run workload reviews, rebalance staffing where possible, and schedule stay interviews for overtime-heavy groups.",High,Overtime: No appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Monthly income,Review compensation-band positioning and market competitiveness for affected groups.,High,Monthly income appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Job satisfaction,"Review engagement feedback, manager follow-through, recognition, and team climate for affected groups.",Medium,Job satisfaction appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Environment satisfaction,"Review engagement feedback, manager follow-through, recognition, and team climate for affected groups.",Medium,Environment satisfaction appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Relationship Satisfaction,"Review engagement feedback, manager follow-through, recognition, and team climate for affected groups.",Medium,Relationship Satisfaction appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Years with current manager,"Coach managers on 1:1 quality, recognition, workload planning, and follow-through on employee concerns.",Medium,Years with current manager appears among the strongest validation drivers and may represent an actionable retention pattern.
ibm_hr_attrition,Distance from home,"Explore commute flexibility, hybrid scheduling, or location-support options for affected employees.",Medium,Distance from home appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Job level: Senior,"Review career progression, internal mobility, and promotion visibility for affected groups.",High,Job level: Senior appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Remote work: Yes,Review remote-work and flexibility patterns against engagement feedback and role requirements.,High,Remote work: Yes appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Work-life balance: Fair,Run a pulse survey and manager coaching plan for teams with weaker work-life balance signals.,High,Work-life balance: Fair appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Distance from home,"Explore commute flexibility, hybrid scheduling, or location-support options for affected employees.",Medium,Distance from home appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Number of promotions,"Review career progression, internal mobility, and promotion visibility for affected groups.",Medium,Number of promotions appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Years at company,"Add onboarding, 30/60/90-day check-ins, and early-tenure manager support for affected groups.",Medium,Years at company appears among the strongest validation drivers and may represent an actionable retention pattern.
synthetic_employee_attrition_74498train,Monthly income,Review compensation-band positioning and market competitiveness for affected groups.,Medium,Monthly income appears among the strongest validation drivers and may represent an actionable retention pattern.
